314 articles
+------------------------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                                      |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| ... Ce vom face?                                           | Traian Dorz | articol |       55      |      819      |
| Culesul roadelor                                           | Traian Dorz |  poezie |       37      |      119      |
| ... vor veni romanii...                                    | Traian Dorz | articol |       58      |      881      |
| Pentru nimic în lume                                       | Traian Dorz |  poezie |       28      |      145      |
| Unul din ei, Caiafa, le-a zis...                           | Traian Dorz | articol |       60      |      863      |
| Mi-este frate orişicine                                    | Traian Dorz |  poezie |       33      |      170      |
| ... Folosul                                                | Traian Dorz | articol |       69      |      813      |
| Pe cine crezi?                                             | Traian Dorz |  poezie |       33      |      129      |
| Fiindcă era mare preot... a profeţit                       | Traian Dorz | articol |       56      |      860      |
| Voi toţi câţi predicaţi                                    | Traian Dorz |  poezie |       33      |      173      |
| Într-un singur trup, pe toţi fiii - lui Dumnezeu           | Traian Dorz | articol |       59      |      997      |
| Tot cu mai puţine lacrimi                                  | Traian Dorz |  poezie |       28      |      163      |
| Din ziua aceea au hotărât                                  | Traian Dorz | articol |       53      |      804      |
| Curând soseşte vremea                                      | Traian Dorz |  poezie |       35      |      194      |
| Isus, nu mai umbla pe faţă                                 | Traian Dorz | articol |       62      |      936      |
| Doamne, Tu ne-ai spus                                      | Traian Dorz |  poezie |       36      |       94      |
| Paştile... erau aproape                                    | Traian Dorz | articol |       58      |      804      |
| S-au dus demult                                            | Traian Dorz |  poezie |       38      |      219      |
| Căutau pe Isus...                                          | Traian Dorz | articol |       59      |      804      |
| Când munca mea                                             | Traian Dorz |  poezie |       38      |      123      |
| Porunciseră... să le dea de ştire                          | Traian Dorz | articol |       94      |      1262     |
| Cât de neuitată eşti                                       | Traian Dorz |  poezie |       51      |      229      |
| Domnul nostru Isus Hristos este Împăratul nostru           | Traian Dorz | articol |       40      |      161      |
| Rugăciune                                                  | Traian Dorz | articol |       34      |      205      |
| Te slăvim Preamărit Dumnezeu                               | Traian Dorz |  poezie |       28      |      114      |
| În Betania, unde era Lazăr                                 | Traian Dorz | articol |       59      |      784      |
| Ce crudă-i moartea!                                        | Traian Dorz |  poezie |       31      |       95      |
| Marta slujea                                               | Traian Dorz | articol |       78      |      998      |
| Iubirea mea de Domnul                                      | Traian Dorz |  poezie |       45      |      191      |
| Maria a luat un litru de mir                               | Traian Dorz | articol |       64      |      832      |
| Eu ştiu că ştii Isuse                                      | Traian Dorz |  poezie |       41      |      203      |
| Unul din ucenicii Săi, Iuda - Iscarioteanul                | Traian Dorz | articol |       56      |      888      |
| Dezbinarea vine numai                                      | Traian Dorz |  poezie |       35      |      171      |
| De ce nu s-a vândut?                                       | Traian Dorz | articol |       65      |      915      |
| O Doamne, deschide-le ochii                                | Traian Dorz |  poezie |       34      |      104      |
| Zicea astfel pentru că era un hoţ                          | Traian Dorz | articol |       65      |      866      |
| Când vei vedea                                             | Traian Dorz |  poezie |       41      |      176      |
| ... Nu l-a păstrat pentru sine...                          | Traian Dorz | articol |       57      |      871      |
| Prin tot ce am                                             | Traian Dorz |  poezie |       38      |      175      |
| Pe Mine nu Mă aveţi totdeauna                              | Traian Dorz | articol |       53      |      971      |
| Nu mi-ai cerut                                             | Traian Dorz |  poezie |       36      |      115      |
| Nu numai pentru Isus ci şi pentru Lazăr                    | Traian Dorz | articol |       59      |      1023     |
| Lumină!                                                    | Traian Dorz |  poezie |       37      |      101      |
| Să-l omoare şi pe Lazăr                                    | Traian Dorz | articol |       56      |      867      |
| Să nu te temi luptând                                      | Traian Dorz |  poezie |       42      |      177      |
| Din pricina lui mulţi credeau                              | Traian Dorz | articol |       60      |      839      |
| Hristos vrea suflete                                       | Traian Dorz |  poezie |       43      |      167      |
| Cum au auzit că vine Isus                                  | Traian Dorz | articol |       62      |      829      |
| O, Doamne, fericit e-acela                                 | Traian Dorz |  poezie |       52      |      178      |
| I-a ieşit în întâmpinare                                   | Traian Dorz | articol |       63      |      797      |
| Nu ţi-a fost prieten                                       | Traian Dorz |  poezie |       38      |      159      |
| Isus a găsit un asin                                       | Traian Dorz | articol |       62      |      911      |
| Cât holdele-s plecate                                      | Traian Dorz |  poezie |       35      |      167      |
| Nu te teme, iată Împăratul tău                             | Traian Dorz | articol |       86      |      859      |
