232 articles
+-------------------------------------------+-------------+---------+---------------+---------------+
| Titlu                                     |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| Isus a zis: Marie!                        | Traian Dorz | articol |       58      |      1133     |
| Minuni sunt toate                         | Traian Dorz |  poezie |       28      |      130      |
| Nu Mă atinge!                             | Traian Dorz | articol |       72      |      940      |
| Mai curat decât zăpada                    | Traian Dorz |  poezie |       31      |      104      |
| S-a dus şi a vestit                       | Traian Dorz | articol |       63      |      952      |
| Din mormântu-ntunecat                     | Traian Dorz |  poezie |       34      |      108      |
| Pe când uşile erau încuiate...            | Traian Dorz | articol |       63      |      928      |
| De-ar şti harfa care cântă                | Traian Dorz |  poezie |       36      |      128      |
| Mâinile şi coasta Lui                     | Traian Dorz | articol |       59      |      937      |
| Oricât ţi-ar fi de greu                   | Traian Dorz |  poezie |       32      |      129      |
| Cum M-a trimis pe Mine Tatăl              | Traian Dorz | articol |       67      |      935      |
| Nu va fi belşug de-a pururi               | Traian Dorz |  poezie |       37      |      149      |
| Luaţi Duh Sfânt                           | Traian Dorz | articol |       58      |      867      |
| Tot ce-am să mai spun                     | Traian Dorz |  poezie |       35      |      136      |
| Celor ce le veţi ierta                    | Traian Dorz | articol |       56      |      883      |
| Du-te şi tu de vesteşte                   | Traian Dorz |  poezie |       33      |      144      |
| Toma, nu era cu ei                        | Traian Dorz | articol |       59      |      1095     |
| Amar e gustul despărţirii                 | Traian Dorz |  poezie |       33      |      160      |
| Semnul cuielor                            | Traian Dorz | articol |       64      |      1068     |
| Ştii tu câţi sunt?                        | Traian Dorz |  poezie |       34      |      151      |
| Pace vouă!                                | Traian Dorz | articol |       73      |      1067     |
| Ce dulce-a fost cândva                    | Traian Dorz |  poezie |       29      |      122      |
| Să nu fii necredincios                    | Traian Dorz | articol |       69      |      968      |
| Ce-nalt Ţi-araţi Tu                       | Traian Dorz |  poezie |       34      |      144      |
| Dumnezeul meu                             | Traian Dorz | articol |       79      |      966      |
| Din noapte şi din nefiinţă                | Traian Dorz |  poezie |       29      |      115      |
| Ferice de cei ce n-au văzut               | Traian Dorz | articol |       75      |      1094     |
| O, Tatăl nostru Nepătruns                 | Traian Dorz |  poezie |       29      |      112      |
| Multe alte semne...                       | Traian Dorz | articol |       71      |      1167     |
| Doamne, nu lăsa-ndoiala                   | Traian Dorz |  poezie |       26      |      114      |
| Pentru ca voi să credeţi                  | Traian Dorz | articol |       69      |      1129     |
| Tot ce-i mai frumos                       | Traian Dorz |  poezie |       29      |      128      |
| Mărire veşnică Învierii Tale Isuse Doamne | Traian Dorz | articol |       57      |      948      |
| - capitolul 21 -                          | Traian Dorz | articol |       64      |      291      |
| Slavă şi slavă şi slavă                   | Traian Dorz |  poezie |       33      |      137      |
| ... Isus S-a mai arătat                   | Traian Dorz | articol |       70      |      1181     |
| Ce dor adânc                              | Traian Dorz |  poezie |       31      |      124      |
| O, clipa revederii Lui                    | Traian Dorz |  poezie |       34      |      129      |
| Ucenicii lui Isus erau împreună           | Traian Dorz | articol |       54      |      1157     |
| Ce bine-i printre voi...                  | Traian Dorz |  poezie |       44      |      201      |
| O, moarte strălucită                      | Traian Dorz |  poezie |       38      |      168      |
| Şi n-au prins nimic în noaptea aceea      | Traian Dorz | articol |       43      |      997      |
| La ţărmul mării mele                      | Traian Dorz |  poezie |       30      |      159      |
| Legat de Tine sunt Isus                   | Traian Dorz |  poezie |       43      |      206      |
| Isus stătea pe ţărm...                    | Traian Dorz | articol |       51      |      1153     |
| Va fi-n veci                              | Traian Dorz |  poezie |       34      |      150      |
| V-adeveresc prieteni                      | Traian Dorz |  poezie |       29      |      168      |
| Aveţi ceva de mâncare?                    | Traian Dorz | articol |       52      |      1113     |
| Isus, când spui cât mă iubeşti            | Traian Dorz |  poezie |       31      |      158      |
| În clipele mai grele                      | Traian Dorz |  poezie |       34      |      133      |
| Aruncaţi mreaja!...                       | Traian Dorz | articol |       71      |      1282     |
| Nu-i drumul spre                          | Traian Dorz |  poezie |       40      |      173      |
| Nu jos ci Sus                             | Traian Dorz |  poezie |       36      |      193      |
| Când a auzit Petru că este Domnul...      | Traian Dorz | articol |       47      |      1215     |
| N-ai mai bun părinte                      | Traian Dorz |  poezie |       27      |      121      |
| Oricât eram de singur                     | Traian Dorz |  poezie |       30      |      132      |
| Trăgând mreaja cu peştii...               | Traian Dorz | articol |       53      |      1184     |
| Va fi odată-o pace                        | Traian Dorz |  poezie |       32      |      182      |
| În seara asta simt                        | Traian Dorz |  poezie |       32      |      130      |
| Când s-au pogorât pe ţărm                 | Traian Dorz | articol |       47      |      1227     |
| Vino la Isus chiar dacă                   | Traian Dorz |  poezie |       27      |      124      |
| Să-L iubim pe Domnul                      | Traian Dorz |  poezie |       32      |      122      |
| Isus le-a zis: aduceţi din peştii...      | Traian Dorz | articol |       53      |      1039     |
| Nimeni n-o să poată spune                 | Traian Dorz |  poezie |       36      |      154      |
| Sfântă ai mereu porunca                   | Traian Dorz |  poezie |       32      |      139      |
| O sută cincizeci şi trei de peşti mari... | Traian Dorz | articol |       43      |      1187     |
| Ce dragi ne-au fost                       | Traian Dorz |  poezie |       29      |      134      |
| Dacă ne-adunăm în Domnul                  | Traian Dorz |  poezie |       24      |      167      |
| Veniţi de prânziţi...                     | Traian Dorz | articol |       54      |      1130     |
| Ce duşmănit eşti Tu acum                  | Traian Dorz |  poezie |       37      |      165      |
| Ce fericit aş fi când viaţa               | Traian Dorz |  poezie |       34      |      148      |
| Isus S-a apropiat...                      | Traian Dorz | articol |       58      |      958      |
| Bogatul meu Prieten                       | Traian Dorz |  poezie |       33      |      144      |
| Bucuria nu-i deplină                      | Traian Dorz |  poezie |       38      |      123      |
| Aceasta era a treia oară                  | Traian Dorz | articol |       59      |      1062     |
| Veniţi voi ceruri largi                   | Traian Dorz |  poezie |       43      |      162      |
| Ce minunat e graiul                       | Traian Dorz |  poezie |       27      |      137      |
| După ce au prânzit...                     | Traian Dorz | articol |       51      |      1212     |
| Nu ştim de ce                             | Traian Dorz |  poezie |       31      |      149      |
| O, ce curat e cerul                       | Traian Dorz |  poezie |       36      |      229      |
| I-a zis a doua oară                       | Traian Dorz | articol |       56      |      1130     |
| Ai grijă-ntotdeauna                       | Traian Dorz |  poezie |       31      |       79      |
| Anii trec ca norii                        | Traian Dorz |  poezie |       29      |      144      |
| Petru s-a întristat                       | Traian Dorz | articol |       55      |      1129     |
| A fi păstor                               | Traian Dorz |  poezie |       35      |      156      |
| Nu-mi pare rău de tot                     | Traian Dorz |  poezie |       32      |      141      |
| Atunci când erai mai tânăr...             | Traian Dorz | articol |       66      |      1236     |
| Priveşte-n sus                            | Traian Dorz |  poezie |       31      |      133      |
| Hristos e-n frunte                        | Traian Dorz |  poezie |       37      |      191      |
| Cu ce fel de moarte...                    | Traian Dorz | articol |       58      |      1305     |
| Fericit cel ce plăteşte                   | Traian Dorz |  poezie |       29      |      100      |
| Când suprema suferinţă                    | Traian Dorz |  poezie |       29      |      103      |
| Ucenicul pe care îl iubea Isus            | Traian Dorz | articol |       59      |      1303     |
| Cât m-ai chemat Isuse                     | Traian Dorz |  poezie |       29      |      100      |
| Când te uiţi prea mult                    | Traian Dorz |  poezie |       34      |      152      |
| Doamne, dar cu acesta ce va fi?           | Traian Dorz | articol |       53      |      1151     |
| Să nu-i uitaţi!                           | Traian Dorz |  poezie |       26      |       85      |
| Cu harfele de aur                         | Traian Dorz |  poezie |       37      |      146      |
| Tu vino după Mine!                        | Traian Dorz | articol |       52      |      1249     |
| Suprema cântare Iubirii                   | Traian Dorz |  poezie |       26      |       87      |
| E sărbătoare până-n cer                   | Traian Dorz |  poezie |       34      |      139      |
| Zvonul printre fraţi                      | Traian Dorz | articol |       71      |      1437     |
| De-aş ajunge cea mai mare                 | Traian Dorz |  poezie |       29      |      129      |
| Doamne, să nu pot întoarce                | Traian Dorz |  poezie |       31      |      136      |
| Ucenicul acesta este...                   | Traian Dorz | articol |       42      |      1216     |
| Cu inima arzândă                          | Traian Dorz |  poezie |       24      |      132      |
| În raiul meu                              | Traian Dorz |  poezie |       34      |      137      |
| Mai sunt multe...                         | Traian Dorz | articol |       65      |      1478     |
| Când las din mână harfa                   | Traian Dorz |  poezie |       38      |      168      |
| Ce-am cuprins din Tine?                   | Traian Dorz |  poezie |       36      |      115      |
| Închinare                                 | Traian Dorz | articol |       26      |      610      |
| Nainte de-al Tău Nume Sfânt...            | Traian Dorz |  poezie |       34      |      182      |
| La capăt de călătorie                     | Traian Dorz |  poezie |      926      |      2005     |
+-------------------------------------------+-------------+---------+---------------+---------------+
