664 articles
+----------------------------------+-------------+--------+---------------+---------------+
| Titlu                            |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| Numele Tău e Minunat             | Traian Dorz | poezie |       32      |      109      |
| Recunoştinţă Doamne              | Traian Dorz | poezie |       24      |      135      |
| Cum marea şi-aduce               | Traian Dorz | poezie |       34      |      125      |
| Cântări Nemuritoare              | Traian Dorz | poezie |       38      |      146      |
| Slavă Ţie, slavă Ţie             | Traian Dorz | poezie |       34      |       96      |
| Slăvit fii Tu, al Bucuriei       | Traian Dorz | poezie |       27      |      107      |
| Slăvit fii Tu Înnoitorul         | Traian Dorz | poezie |       34      |      123      |
| Isuse, Apa vie                   | Traian Dorz | poezie |       26      |       90      |
| Slavă nesfârşită Doamne          | Traian Dorz | poezie |       26      |       78      |
| Slavă veşnică Isuse              | Traian Dorz | poezie |       32      |      117      |
| Slăvit fii Tu, slăvit mereu      | Traian Dorz | poezie |       34      |      149      |
| Slavă Ţie, numai Ţie             | Traian Dorz | poezie |       31      |      103      |
| Slăvită fii, Lumină              | Traian Dorz | poezie |       35      |       87      |
| Slavă, slavă, slavă Ţie          | Traian Dorz | poezie |       27      |       98      |
| Slavă Ţie Viu Izvor              | Traian Dorz | poezie |       31      |       86      |
| Te slăvim Preamărit Dumnezeu     | Traian Dorz | poezie |       26      |      114      |
| Slavă Ţie, slavă                 | Traian Dorz | poezie |       20      |      105      |
| Te slăvim Isuse Doamne           | Traian Dorz | poezie |       26      |       89      |
| Slăvită Viţă-a Vieţii            | Traian Dorz | poezie |       26      |       77      |
| Mărire Ţie Doamne                | Traian Dorz | poezie |       26      |       85      |
| Mărit fii Tu, Mijlocitorul       | Traian Dorz | poezie |       24      |       92      |
| Lăudat să fii Isuse              | Traian Dorz | poezie |       30      |       99      |
| Mărire Îndelung-răbdării Tale    | Traian Dorz | poezie |       22      |       91      |
| Slavă veşnică-nvierii            | Traian Dorz | poezie |       34      |       85      |
| Slavă şi slavă şi slavă          | Traian Dorz | poezie |       31      |      137      |
| Slavă veşnică Iubirii            | Traian Dorz | poezie |       31      |       79      |
| Nimic nu-ntoarce Doamne          | Traian Dorz | poezie |       18      |       90      |
