602 articles
+---------------------------------------+-------------+--------+---------------+---------------+
| Titlu                                 |    Autor    |  Tip   | Numar versuri | Numar cuvinte |
| Când eşti trimes... - 2               | Traian Dorz | poezie |       28      |      239      |
| În zadar străluce luna                | Traian Dorz | poezie |       19      |      149      |
| Cum trec de iute toate                | Traian Dorz | poezie |       26      |      111      |
| Ce mult se-ndreptăţeşte               | Traian Dorz | poezie |       24      |      216      |
| Dacă înc-o dată                       | Traian Dorz | poezie |       24      |      128      |
| Să te laude oricine                   | Traian Dorz | poezie |       26      |       95      |
| Nu Te dor Isuse                       | Traian Dorz | poezie |       24      |      130      |
| Veniţi în Ziua asta                   | Traian Dorz | poezie |       34      |      129      |
| Cine-i oare fericit?                  | Traian Dorz | poezie |       26      |      101      |
| Am plecat de-acasă                    | Traian Dorz | poezie |       24      |      126      |
| Vino lacrimă cu mine                  | Traian Dorz | poezie |       29      |      106      |
| Nu-ţi schimba cuvântul                | Traian Dorz | poezie |       24      |      131      |
| N-am avut nimic Isuse                 | Traian Dorz | poezie |       25      |      162      |
| Dacă n-aveţi                          | Traian Dorz | poezie |       26      |      119      |
| Lume-ntunecată vale                   | Traian Dorz | poezie |       27      |      106      |
| Dragoste necredincioasă               | Traian Dorz | poezie |       24      |      163      |
| De ce plângi?                         | Traian Dorz | poezie |       21      |      119      |
| Unul lângă altul                      | Traian Dorz | poezie |       29      |       92      |
| Duhul Sfânt e Porumbelul              | Traian Dorz | poezie |       19      |      114      |
| Dulce soare străluceşte               | Traian Dorz | poezie |       26      |       79      |
| Ce noapte-i Noaptea asta!             | Traian Dorz | poezie |       26      |      100      |
| Anii trec la fel                      | Traian Dorz | poezie |       19      |      152      |
| Cu toţi şi-ntotdeauna                 | Traian Dorz | poezie |       19      |      111      |
| Să te binecuvânteze Domnul, fiul      | Traian Dorz | poezie |       35      |      106      |
| Începe cu lumina                      | Traian Dorz | poezie |       19      |      117      |
| Din anii tăi                          | Traian Dorz | poezie |       26      |      122      |
| Iubeşte-ţi munca ta                   | Traian Dorz | poezie |       26      |      128      |
| Ia-mi Isus odată                      | Traian Dorz | poezie |       19      |       94      |
| Scump frăţioare                       | Traian Dorz | poezie |       32      |       89      |
| Cu privirile în lacrimi               | Traian Dorz | poezie |       25      |      168      |
| Vine-o clipă                          | Traian Dorz | poezie |       26      |      102      |
| Tot ce-ai semănat                     | Traian Dorz | poezie |       26      |      110      |
| Pentru fiecare suflet                 | Traian Dorz | poezie |       29      |      107      |
| Nefericit e-acela                     | Traian Dorz | poezie |       29      |      101      |
| Cu ochii lăcrimând                    | Traian Dorz | poezie |       29      |       87      |
| Oricât ai auzi                        | Traian Dorz | poezie |       29      |      118      |
| După orişice-ncercare                 | Traian Dorz | poezie |       29      |       90      |
| Când cuvântul tău                     | Traian Dorz | poezie |       17      |      102      |
| Seamănă cu hărnicie                   | Traian Dorz | poezie |       18      |      117      |
| Dac-ai câştigat odată                 | Traian Dorz | poezie |       26      |       77      |
| Dacă te-nspăimânţi                    | Traian Dorz | poezie |       20      |      108      |
| Tu uiţi acum                          | Traian Dorz | poezie |       24      |      184      |
| Cine laudă                            | Traian Dorz | poezie |       26      |       91      |
| Acopere-ţi ochii                      | Traian Dorz | poezie |       24      |      121      |
| Trec anii...                          | Traian Dorz | poezie |       19      |      141      |
| Când toate-ţi spun                    | Traian Dorz | poezie |       26      |      104      |
| Cine s-a unit cu lumea umblă          | Traian Dorz | poezie |       35      |      146      |
| O, Adevăr, ce greu eşti               | Traian Dorz | poezie |       21      |      161      |
| Când în suflet                        | Traian Dorz | poezie |       29      |       86      |
| Mai înţelepţi sunt                    | Traian Dorz | poezie |       29      |      105      |
| Avuţiile ce zboară                    | Traian Dorz | poezie |       26      |       94      |
| Spune-ţi inimii...                    | Traian Dorz | poezie |       24      |      162      |
| Socoteşte-te străin                   | Traian Dorz | poezie |       26      |       87      |
| La Ospăţul Dărniciei                  | Traian Dorz | poezie |       19      |      134      |
| Cel ce râde                           | Traian Dorz | poezie |       29      |      113      |
| Cine ştie Adevărul                    | Traian Dorz | poezie |       24      |      165      |
| Eşti dator!                           | Traian Dorz | poezie |       29      |      127      |
| Ne rugăm!                             | Traian Dorz | poezie |       19      |      138      |
| De vreţi!                             | Traian Dorz | poezie |       29      |      103      |
| Caută avuţia care                     | Traian Dorz | poezie |       21      |      109      |
| Mare-i taina rugăciunii               | Traian Dorz | poezie |       26      |       75      |
| Păcatul nu se iartă!                  | Traian Dorz | poezie |       24      |      153      |
| Să nu iei nimic                       | Traian Dorz | poezie |       29      |      119      |
| Eu nu-mi voi urî                      | Traian Dorz | poezie |       24      |      168      |
| Caută să te bucuri                    | Traian Dorz | poezie |       24      |      129      |
| În fiecare clipă                      | Traian Dorz | poezie |       29      |      112      |
| Puţini oameni buni                    | Traian Dorz | poezie |       26      |      109      |
| Nu-ţi pierde niciodată                | Traian Dorz | poezie |       24      |      147      |
| Dacă poţi avea                        | Traian Dorz | poezie |       24      |      189      |
| Greu trăieşti nevinovat               | Traian Dorz | poezie |       29      |      110      |
| Trecători suntem                      | Traian Dorz | poezie |       24      |      184      |
| Nu vei fi pe totdeauna                | Traian Dorz | poezie |       26      |      105      |
| La Cina Lui de Taină                  | Traian Dorz | poezie |       25      |      149      |
| Milă ai de mine Doamne                | Traian Dorz | poezie |       51      |      340      |
| Cântările Eterne                      | Traian Dorz | poezie |       26      |       92      |
| Din Cântările Eterne                  | Traian Dorz | poezie |       22      |      156      |
| O singură iubire                      | Traian Dorz | poezie |       31      |      130      |
| Ia-mi Isus odată                      | Traian Dorz | poezie |       24      |      119      |
| Când va fi                            | Traian Dorz | poezie |       24      |      125      |
| Numai o viaţă sfântă                  | Traian Dorz | poezie |       29      |       99      |
| Mult ne mângâie                       | Traian Dorz | poezie |       24      |      142      |
| Din suferinţa ta                      | Traian Dorz | poezie |       29      |       88      |
| Cât de-nşelătoare-i slava             | Traian Dorz | poezie |       26      |       79      |
| Plăteşti odată tot                    | Traian Dorz | poezie |       19      |      143      |
| Ce-aproape sunt                       | Traian Dorz | poezie |       19      |      110      |
| Când Adevărul                         | Traian Dorz | poezie |       29      |      134      |
| Nu uita trecutul                      | Traian Dorz | poezie |       19      |      125      |
| Ferice de aceia                       | Traian Dorz | poezie |       29      |      135      |
| Înger, dulce îngerel...               | Traian Dorz | poezie |       42      |      123      |
| Seara-i lină...                       | Traian Dorz | poezie |       38      |      107      |
| Dar fii crin                          | Traian Dorz | poezie |       29      |      102      |
| Pentru Clipa când va fi               | Traian Dorz | poezie |       29      |      100      |
| Trezeşte-te nainte                    | Traian Dorz | poezie |       25      |      157      |
| Când ai să pui                        | Traian Dorz | poezie |       26      |       90      |
| Ce bine-ar fi                         | Traian Dorz | poezie |       31      |      131      |
| Şi tu eşti chemat                     | Traian Dorz | poezie |       32      |      112      |
| Dac-ai fi rămas                       | Traian Dorz | poezie |       29      |      123      |
| Cei ce-au păcătuit                    | Traian Dorz | poezie |       26      |      111      |
| Să mergi până la capăt                | Traian Dorz | poezie |       31      |      102      |
| Mai arde ceva-n tine?                 | Traian Dorz | poezie |       26      |      112      |
| Îţi pare-acum că veşnic               | Traian Dorz | poezie |       31      |      128      |
| Uitarea, niciodată...                 | Traian Dorz | poezie |       24      |      153      |
| Fără Domnul                           | Traian Dorz | poezie |       27      |       89      |
| Nu vă-nşelaţi crezând                 | Traian Dorz | poezie |       25      |      195      |
| Învaţă să stai singur                 | Traian Dorz | poezie |       26      |       89      |
| Nu vă-nşelaţi cântând                 | Traian Dorz | poezie |       24      |      202      |
| Ieri a-nceput                         | Traian Dorz | poezie |       29      |      114      |
| Nu vă-nşelaţi spunând...              | Traian Dorz | poezie |       25      |      184      |
| Din tot ce-ai spus                    | Traian Dorz | poezie |       31      |      127      |
| Într-o zi apropiată                   | Traian Dorz | poezie |       19      |      116      |
| Din tot ce-am spus                    | Traian Dorz | poezie |       30      |      125      |
| Au şi cuvintele-o durere              | Traian Dorz | poezie |       25      |      191      |
| Să laşi un semn                       | Traian Dorz | poezie |       29      |      138      |
| Cine-ţi va-ntreba                     | Traian Dorz | poezie |       29      |      106      |
| Prin ce arat?                         | Traian Dorz | poezie |       29      |      130      |
| Trebuie să treci                      | Traian Dorz | poezie |       29      |       93      |
| Caută-ntruna                          | Traian Dorz | poezie |       24      |      167      |
| Vino cât e Ziuă încă                  | Traian Dorz | poezie |       29      |      113      |
| Urma Ta-i lumina                      | Traian Dorz | poezie |       29      |       76      |
| Doamne, sunt dator                    | Traian Dorz | poezie |       32      |      132      |
| Alege bine                            | Traian Dorz | poezie |       29      |      153      |
| Strângeţi fărâmiturile                | Traian Dorz | poezie |       29      |      135      |
| Profet al vremurilor noastre          | Traian Dorz | poezie |       29      |      113      |
| Am umblat prin soare                  | Traian Dorz | poezie |       19      |      114      |
| Mi-ar fi plăcut                       | Traian Dorz | poezie |       26      |      129      |
| N-am renunţat                         | Traian Dorz | poezie |       24      |      169      |
| Veniţi copii din lume                 | Traian Dorz | poezie |       31      |      118      |
| Eu binecuvânt Durerea                 | Traian Dorz | poezie |       19      |      137      |
| Când îţi învingi                      | Traian Dorz | poezie |       26      |      109      |
| Mărturia mea Isus                     | Traian Dorz | poezie |       29      |       98      |
| Strângeţi orice fărâmituri            | Traian Dorz | poezie |       29      |      100      |
| Aceste frunze care-mi cad             | Traian Dorz | poezie |       19      |      131      |
| Mâine voi pleca                       | Traian Dorz | poezie |       31      |      120      |
