178 articles
+----------------------------+-------------+---------+---------------+---------------+
| Titlu                      |    Autor    |   Tip   | Numar versuri | Numar cuvinte |
| Smerenia                   | Traian Dorz | articol |       66      |      389      |
| Speranţa                   | Traian Dorz | articol |       68      |      436      |
| Statornicia                | Traian Dorz | articol |       70      |      425      |
| Suferinţa                  | Traian Dorz | articol |       67      |      416      |
| Tinereţea                  | Traian Dorz | articol |       67      |      426      |
| Ura                        | Traian Dorz | articol |       76      |      378      |
| Veşnicia                   | Traian Dorz | articol |       69      |      427      |
| Viaţa                      | Traian Dorz | articol |       74      |      442      |
| Virtutea                   | Traian Dorz | articol |       65      |      388      |
| Voinţa                     | Traian Dorz | articol |       75      |      438      |
| Sfârşitul                  | Traian Dorz | articol |      100      |      511      |
+----------------------------+-------------+---------+---------------+---------------+
